datasetKey,datasetTitle
f7fe989b-4f4e-4ad5-832b-5c09d654ec67,Flickr (01) Shieldbugs & allied species
aa764da1-8d58-4381-b926-f6a88163f2a3,Orthoptera (and allies) records for Dumfries and Galloway
52422715-c1db-40a0-ba16-b84a295d248a,Seasearch Marine Surveys in England
d8cd16ba-bb74-4420-821e-083f2bac17c2,INSDC Sequences
053cc2c4-c0c9-4024-8cdb-9f45b93700bf,Nezara viridula records held by the Royal Horticultural Society
441ea9dc-0388-42b0-aad0-3950067ad183,RISC Non-Native Species Records for Rhododendron Leafhopper
d43e2d8e-be6a-4234-9b77-fadc5fda82d1,Orthopteran Records (West Wales)
0cb3cfed-53bf-4ebd-9a10-f68b4069e68b,Hemiptera Records (West Wales)
6d56415d-b007-4273-9c74-bcd6b2467434,The CPR Survey
331b0c6d-eaa2-44d5-a3c6-49b59110e4d7,"SmartRivers - Aquatic invertebrate occurrence and pressure biometric scores in English, Welsh and Scottish rivers"
ff8ccd90-5f18-47ce-af29-c2d8bcfb8dc7,DBRC Hemiptera species records 1969 to 2015
60202510-efd9-4f3c-95cc-56a950b2e033,Sciomyzidae Recording Scheme - iRecord
744505cc-d9a7-4b00-a3cb-77826a46614b,Hemiptera: Auchenorrhyncha:  Records for Kent
86e04540-4f45-43b4-b878-ade541608280,Odonata records for Dumfries and Galloway
2ce8d28a-8b47-4910-8fbd-197942cadf68,Noble Chafer: Post-BAP records from 1998 onwards
9b54bf07-7b6b-43e1-93d9-fcf8eb6be494,Biological Recording in Scotland - Bumblebee Survey
833951d4-633b-49b4-b06c-85d00396ea9e,Ants: Formica Exsecta Records (Scotland)
4913742a-fd61-412c-a4f5-5a38004e713e,"Austrocnephia, new genus, for five species of ‘ Paracnephia’ (Diptera: Simuliidae), with a key to Australian black fly genera"
60920f60-eff7-409d-884b-fba96b3c7fe6,PTES - incidental Coleoptera records from the 2006-2007 National Stag Beetle Survey
17509009-2c92-4e8e-9b36-83289940d47f,"An annotated checklist of scale insects (Hemiptera: Coccoidea) of Saint Lucia, Lesser Antilles"
d6723239-f0ef-453e-b496-9b35c1f6374a,Pallopteridae of Ireland
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NABU|naturgucker
6b3877d5-4869-43aa-af12-92c703fd5b6d,"Marine data from Natural Resources Wales (NRW) Technical Support (Research & Monitoring) Contracts, Wales"
2150bbfa-51d0-4557-ab15-fb9459881eb7,INNS Data: All Taxa (South East Wales)
cc9ae2eb-b6e9-4a4e-80ec-13c21e49963f,Kelp Fly Recording Scheme - records verified via iRecord
9261d82a-1247-41e4-b40c-4724577137ac,SEWBReC Other Insects (South East Wales)
e3654114-85ba-4100-8b14-d7a85525f68e,Glasgow Museums Biological Records Centre: Coleoptera: Silphidae
1ab54c1c-e6b6-4645-9a50-cc93725153ba,Dungflies (Scathophagidae) of Ireland
2f3420f9-8258-4fe3-85e9-bdc30c7a3bf0,Glasgow Museums Biological Records Centre: Orthoptera
1391d9e2-8f1e-45e7-84b4-f7b1d160858e,Diptera: Tephritoidea + Conopidae
c4ded37c-17e4-4848-b21d-cc17c16d86e6,iSpot (2008-2010): Shieldbugs & allied species
3a9382cc-d982-4992-8c10-734c95ba8dce,Diptera Records (West Wales)
01acbfb4-d830-4aaa-95e7-86306d81dc53,Citizen Science Cranefly Records For Ireland
3c3a7955-e23b-45f7-ab29-fe8bc5876585,Shire Group IDB species data 2004 to present
2b08c46f-903f-440e-9b53-ac0e54da0a65,Phenology Survey Outer Hebrides
e3ce628e-9683-4af7-b7a9-47eef785d3bb,Earth Guardians Weekly Feed
3419e2ce-de18-4727-868a-b239c379b3bb,Wisteria scale (Eulecanium excrescens) records acquired by the Royal Horticultural Society
0e5ec19e-aadf-4c69-871c-43c0e4273a77,2017 Onwards Rare Invertebrates in the Cairngorms Small Scabious Mining Bee Survey Data
